日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240430,4627,ナトコ,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4628,エスケー化研,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4629,大伸化学,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4631,ＤＩＣ,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20240430,4633,サカタインクス,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4634,ａｒｔｉｅｎｃｅ,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20240430,4635,東京インキ,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4641,アルプス技研,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4642,オリジナル設計,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4644,イマジニア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4645,市進ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4650,ＳＤエンターテイメント,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4651,サニックス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4657,環境管理センター,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4658,日本空調サービス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4659,エイジス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4661,オリエンタルランド,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70
20240430,4662,フォーカスシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4664,アール・エス・シー,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4665,ダスキン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4666,パーク２４,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20240430,4667,アイサンテクノロジー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4668,明光ネットワークジャパン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4671,ファルコホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
